,Fase,Costo Estimado
1.1,Diseño de solución Full Stack,"1,000.00"
1.2,Determinación de Tecnologías y Frameworks,"4,671.04"
1.3,Implementación App Ofertas,"43,033.96"
1.4,Prueba de Concepto,"2,630.20"
2.1,Desarrollo de IA - Recopilación de Datos,"5,908.70"
2.2,Desarrollo de IA - Procesamiento de Datos,"4,193.06"
2.3,Desarrollo de IA - Diseño de Modelo de IA,"1,866.52"
2.4,Desarrollo de IA - Implementación de IA,"7,385.44"
2.5,Desarrollo de IA - Pruebas,912.80
3.1,Perfeccionamiento de IA - Recopilación de Datos,"1,930.64"
3.2,Perfeccionamiento de IA - Procesamiento de Datos,"2,894.96"
3.3,Perfeccionamiento de IA - Renetrenameinto de Modelo de IA,"10,169.36"
3.4,Perfeccionamiento de IA - Pruebas,"1,712.80"
3.5,Integración del motor de recomendación en la App,"10,800.00"
